property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,,
A016064,BN0016790,000B86816AFA,10.151.184.5,slo-rw171i-i302-am,AM,I302-D,Inyo,Poly Canyon Village,W,,
A016065,BN0016902,000B86816D2A,10.151.184.6,slo-rw171i-i303-l,5,I303-L,Inyo,Poly Canyon Village,W,,
A016066,BN0012387,000B868114FB,10.151.184.7,slo-rw171i-i303-am,AM,I303-A,Inyo,Poly Canyon Village,W,,
A016067,BN0012213,000B86811195,10.151.184.8,slo-rw171i-i303-c,2.4,I303-C,Inyo,Poly Canyon Village,W,,
A016068,BN0012345,000B86811429,10.151.184.9,slo-rw171i-i304-l,5,I304-L,Inyo,Poly Canyon Village,W,,
A016069,BN0012356,000B86811460,10.151.184.10,slo-rw171i-i304-c,2.4,I304-C,Inyo,Poly Canyon Village,W,,
A016070,BN0012272,000B868112BC,10.151.184.11,slo-rw171i-i305-l,5,I305-L,Inyo,Poly Canyon Village,W,,
A016071,BN0012368,000B8681149C,10.151.184.12,slo-rw171i-i305-b,2.4,I305-B,Inyo,Poly Canyon Village,W,,
A016072,BN0012389,000B86811505,10.151.184.13,slo-rw171i-i306-l,5,I306-L,Inyo,Poly Canyon Village,W,,
A016073,BN0012386,000B868114F6,10.151.184.14,slo-rw171i-i306-b,2.4,I306-B,Inyo,Poly Canyon Village,W,,
A016074,BN0012375,000B868114BF,10.151.184.15,slo-rw171i-i307-l,5,I307-L,Inyo,Poly Canyon Village,W,,
A016075,BN0012392,000B86811514,10.151.184.16,slo-rw171i-i307-b,2.4,I307-B,Inyo,Poly Canyon Village,W,,
A016076,BN0016589,000B8681670D,10.151.184.17,slo-rw171i-i307-am,AM,I307-D,Inyo,Poly Canyon Village,W,,
A016077,BN0016906,000B86816D3E,10.151.184.18,slo-rw171i-i308-l,5,I308-L,Inyo,Poly Canyon Village,W,,
A016078,BN0016911,000B86816D57,10.151.184.19,slo-rw171i-i308-c,2.4,I308-C,Inyo,Poly Canyon Village,W,,
A016079,BN0016910,000B86816D52,10.151.184.20,slo-rw171i-i309-b,2.4,I309-B,Inyo,Poly Canyon Village,W,,
A016080,BN0016897,000B86816D11,10.151.184.21,slo-rw171i-i309-c,5,I309-C,Inyo,Poly Canyon Village,W,,
A016081,BN0016916,000B86816D70,10.151.184.22,slo-rw171i-i311-sr,2.4,I311,Inyo,Poly Canyon Village,W,,
A016082,BN0016913,000B86816D61,10.151.184.23,slo-rw171i-i401-b,5,I401-B,Inyo,Poly Canyon Village,W,,
A016083,BN0016917,000B86816D75,10.151.184.24,slo-rw171i-i401-c,2.4,I401-C,Inyo,Poly Canyon Village,W,,
A016084,BN0016922,000B86816D8E,10.151.184.25,slo-rw171i-i402-l,5,I402-L,Inyo,Poly Canyon Village,W,,
A016085,BN0016876,000B86816CA8,10.151.184.26,slo-rw171i-i402-b,2.4,I402-B,Inyo,Poly Canyon Village,W,,
A016086,BN0012236,000B86811208,10.151.184.27,slo-rw171i-i402-am,AM,I402-D,Inyo,Poly Canyon Village,W,,
A016087,BN0012220,000B868111B8,10.151.184.28,slo-rw171i-i403-l,5,I403-L,Inyo,Poly Canyon Village,W,,
A016088,BN0012237,000B8681120D,10.151.184.29,slo-rw171i-i403-am,AM,I403-A,Inyo,Poly Canyon Village,W,,
A016089,BN0012217,000B868111A9,10.151.184.30,slo-rw171i-i403-c,2.4,I403-C,Inyo,Poly Canyon Village,W,,
A016090,BN0012107,000B86810F83,10.151.184.31,slo-rw171i-i404-l,5,I404-L,Inyo,Poly Canyon Village,W,,
A016091,BN0012247,000B8681123F,10.151.184.32,slo-rw171i-i404-c,2.4,I404-C,Inyo,Poly Canyon Village,W,,
A016092,BN0012246,000B8681123A,10.151.184.33,slo-rw171i-i405-l,5,I405-L,Inyo,Poly Canyon Village,W,,
A016093,BN0012244,000B86811230,10.151.184.34,slo-rw171i-i405-b,2.4,I405-B,Inyo,Poly Canyon Village,W,,
A016094,BN0012241,000B86811221,10.151.184.35,slo-rw171i-i406-l,5,I406-L,Inyo,Poly Canyon Village,W,,
A016095,BN0012249,000B86811249,10.151.184.36,slo-rw171i-i406-b,2.4,I406-B,Inyo,Poly Canyon Village,W,,
A016096,BN0012312,000B86811384,10.151.184.37,slo-rw171i-i407-l,5,I407-L,Inyo,Poly Canyon Village,W,,
A016097,BN0012309,000B86811375,10.151.184.38,slo-rw171i-i407-b,2.4,I407-B,Inyo,Poly Canyon Village,W,,
A016098,BN0012314,000B8681138E,10.151.184.39,slo-rw171i-i407-am,AM,I407-D,Inyo,Poly Canyon Village,W,,
A016099,BN0012316,000B86811398,10.151.184.40,slo-rw171i-i408-l,5,I408-L,Inyo,Poly Canyon Village,W,,
A016100,BN0012304,000B8681135C,10.151.184.41,slo-rw171i-i408-c,2.4,I408-C,Inyo,Poly Canyon Village,W,,
A016101,BN0012317,000B8681139D,10.151.184.42,slo-rw171i-i409-b,2.4,I409-B,Inyo,Poly Canyon Village,W,,
A016102,BN0012262,000B8681128A,10.151.184.43,slo-rw171i-i409-c,5,I409-C,Inyo,Poly Canyon Village,W,,
A016103,BN0012318,000B868113A2,10.151.184.44,slo-rw171i-i411-sr,2.4,I411,Inyo,Poly Canyon Village,W,,
A016104,BN0016690,000B86816906,10.151.172.1,slo-rw171a-a101-b,5,A101-B,Aliso,Poly Canyon Village,W,,
A016105,BN0016938,000B86816DDE,10.151.172.2,slo-rw171a-a101-c,2.4,A101-C,Aliso,Poly Canyon Village,W,,
A016106,BN0016637,000B868167FD,10.151.172.3,slo-rw171a-a102-l,5,A102-L,Aliso,Poly Canyon Village,W,,
A016107,BN0016366,000B868162B2,10.151.172.4,slo-rw171a-a102-c,2.4,A102-C,Aliso,Poly Canyon Village,W,,
A016108,BN0016665,000B86816889,10.151.172.5,slo-rw171a-a103-l,5,A103-L,Aliso,Poly Canyon Village,W,,
A016109,BN0016887,000B86816CDF,10.151.172.6,slo-rw171a-a103-b,2.4,A103-B,Aliso,Poly Canyon Village,W,,
A016110,BN0016213,000B86815FB5,10.151.172.7,slo-rw171a-a103-am,AM,A103-D,Aliso,Poly Canyon Village,W,,
A016111,BN0017020,000B86816F78,10.151.172.8,slo-rw171a-a104-l,5,A104-L,Aliso,Poly Canyon Village,W,,
A016112,BN0016986,000B86816ECE,10.151.172.9,slo-rw171a-a104-b,2.4,A104-B,Aliso,Poly Canyon Village,W,,
A016113,BN0016908,000B86816D48,10.151.172.10,slo-rw171a-a105-l,5,A105-L,Aliso,Poly Canyon Village,W,,
A016114,BN0016718,000B86816992,10.151.172.11,slo-rw171a-a105-b,2.4,A105-B,Aliso,Poly Canyon Village,W,,
A016115,BN0016720,000B8681699C,10.151.171.1,slo-rw171a-a106-l,5,A106-L,Aliso,Poly Canyon Village,W,,
A016116,BN0016323,000B868161DB,10.151.171.2,slo-rw171a-a106-c,2.4,A106-C,Aliso,Poly Canyon Village,W,,
A016117,BN0016697,000B86816929,10.151.171.3,slo-rw171a-a106-am,AM,A106-A,Aliso,Poly Canyon Village,W,,
A016118,BN0016324,000B868161E0,10.151.171.4,slo-rw171a-a107-l,5,A107-L,Aliso,Poly Canyon Village,W,,
A016119,BN0016325,000B868161E5,10.151.171.5,slo-rw171a-a107-b,2.4,A107-B,Aliso,Poly Canyon Village,W,,
A016120,BN0016701,000B8681693D,10.151.171.6,slo-rw171a-a107-am,AM,A107-D,Aliso,Poly Canyon Village,W,,
A016121,BN0016717,000B8681698D,10.151.171.7,slo-rw171a-a108-l,5,A108-L,Aliso,Poly Canyon Village,W,,
